id	name	level
1	斩影尘蝶	185
2	夺心螳螂	68
3	清虚石虫	42
4	御虚螳螂	1
5	百绣云虫	114
6	渡缘烈蚕	81
7	阎罗毛蚕	128
8	绣金飞蛾	17
9	问道碧虫	179
10	绿翼龙虫	126
11	五行影虫	46
12	惊涛仙虫	32
13	霜龙电蝎	99
14	太乙黑虫	160
15	绿灵暗虫	172
16	沧海断筋虫	6
17	惊云玄木虫	35
18	彩琦黑蚕	52
19	法性石蛛	50
20	龙王橙蛛	183
21	人面乾蛛	67
22	神焰尘虫	40
23	幽泉刺虫	77
24	无银暗蛛	168
25	开膛蛛	87
26	极意裂虫	1
27	石坎邪虫	65
28	五岳骨虫	122
29	白云珠蚕	48
30	碧涛桐蚕	23
31	梵雨飞蛾	101
32	影牙飞蛾	165
33	托月肉蚕	108
34	天霄黑斑蛛	157
35	风雷太蜂	96
36	毒灵焱虫	163
37	血阳蟒蛛	88
38	玄焰翼虫	92
39	玄霜刚蛛	69
40	鬼毒灵虫	34
41	月洛石蛛	113
42	火凤石蚕	141
43	域霆绯虫	134
44	抱卵阴虫	66
45	潜夜雷蚕	4
46	寒梅绿蚕	25
47	荣晨铁蛛	1
48	毕义蓝腮蛛	24
49	镏金白蛛	44
50	天尊仙虫	13
51	涅槃武蚕	20
52	双重星蜂	181
53	天狗璃虫	73
54	红月阳蚕	12
55	冲霄隐蚕	117
56	花赤金蚕	152
57	震天靛蝶	182
58	古巨凤蝶	60
59	灭魔空蝶	118
60	灵露霞蛛	153
61	锦织雪吻虫	27
62	苍灵古蛛	146
63	沙砾貂虫	76
64	百变赤蛾	39
65	鬼毒艮虫	7
66	寒泉韵虫	82
67	火羽螳螂	79
68	圣光螳螂	22
69	子午铜虫	102
70	纱罗螳螂	1
71	擎天飞蛾	56
72	武曲铜蚕	119
73	蛊风螳螂	131
74	炎极螳螂	75
75	青君幻虫	51
76	修罗魔蛛	1
77	金凤烈蝶	36
78	碎星焰蚕	180
79	天泽玉蝶	53
80	星宿巨蝶	151
81	影牙黄波虫	55
82	奇木油虫	190
83	阿鼻土虫	137
84	仁王蜘蛛	189
85	哭魂蜈蚣	89
86	佛青追虫	103
87	荧蓝光蝎	104
88	天傲蜈蚣	169
89	真极蓝足蛛	15
90	七圣巨蚊	33
91	灼阳铁蝶	18
92	百黄魔眼蜂	80
93	千青魔眼蜂	130
94	天残御虫	148
95	伏羲绿蝇	30
96	缘觉沙虫	164
97	成光土蚕	29
98	达摩银虫	174
99	龙凤重波蛛	178
100	蟠龙蜈蚣	139
101	三阳毒蚁	112
102	千足钢虫	10
103	射毒缎虫	58
104	穿空焱蚁	136
105	勐虎蜘蛛	147
106	烈光丝蚁	11
107	陨日铁蚁	138
108	惊魂梵阳蚁	98
109	玄龟瑶蚁	84
110	断空冽蚁	156
111	摧魂摄珠蚁	173
112	森罗重蚁	176
113	鸿蒙蚁后	142
114	青霜玄蛇	21
115	神鸢肉蛇	31
116	赤目晶花蛇	186
117	临枫蕊蛇	110
118	紫玉钢蛇	47
119	阳阿玄蛇	85
120	旬空梵蛇	105
121	缠丝焰蛇	175
122	芙蓉宁蛇	158
123	成光龙蛇	38
124	玄目追魂蛇	177
125	奇异碧蛇	120
126	天武蛇	125
127	五首蛇王	62
128	钢血蛇	135
129	北斗幻蛇	70
130	双头血罗蛇	14
131	双头霜华蛇	187
132	双首羿神蛇	26
133	凤冠幻蛇	45
134	破地五行蛇	150
135	锦云天蚕	123
136	天封鳞虫	144
137	虚空光虫	129
138	五行音蛛	97
139	断空钢蛛	133
140	九宫血蛛	140
141	凌霄冰虫	171
142	七杀蝎	78
143	虹光血蚊	106
144	凌霄蜂	170
145	元阳陨蜂	107
146	苍云青阳虫	159
147	炼狱鹦虫	155
148	凤纹血甲虫	1
149	噬龙艳虫	19
150	螺旋革虫	72
151	金列蜈蚣	1
152	炎感蜈蚣	91
153	五行巽蝎	100
154	颂道蛛	1
155	佛幻千蛛	61
156	无相血蛛	63
157	无相幻形蛛	86
158	金翎玄蛛	191
159	战龙魂蛛	2
160	赤眼绿嚣蛙	161
161	天哲红霞蛙	167
162	鬼毒千蛙	57
163	陨龙毒蛙	184
164	癸水焱蛙	3
165	双生琉蛙	54
166	碎尸冰绝蛙	145
167	游龙石蛙	90
168	风炎圣蛙	132
169	千里追风蛙	37
170	无上裂砂蛙	109
171	光雷蛙	8
172	搅海虹蛙	116
173	幻檀蛙	41
174	碎云玄蟾	94
175	托天鬼蛙	95
176	暴风蛙	166
177	摧山怨蛙	121
178	潇湘灵蛙	5
179	仙灵鳞蛇	74
180	幽冥毒蛇	9
181	玄霜白蛇	93
182	五裂土蚁	71
183	鬼面骨蛛	154
184	罗王赤阳蝎	43
185	灵幻蜂	49
186	逍遥毒蛛	115
187	除命铁蜂	127
188	邪光雷蛾	16
189	金狮彩蛾	83
190	慾天金蜂	188
191	活杀蚁	143
192	金虹九仙蚁	28
193	残阳朱蚁	162
194	象角巨蚁	59
195	云晶幻水熊	1
196	龙牙蜂	111
197	冰晶玉虫	64
198	九霄水虫	124
199	赤炎九吻虫	1
200	断肠土虫	149
201		21
202		77
203		30
204		105
205		168
206		199
207		106
208		182
209		92
210		44
211		24
212		153
213		12
214		93
215		78
216		26
217		137
218		65
219		138
220		14
221		29
222		135
223		113
224		84
225		73
226		62
227		97
228		165
229		167
230		34
231		7
232		124
233		20
234		85
235		88
236		95
237		42
238		66
239		28
240		127
241		121
242		55
243		94
244		118
245		117
246		130
247		192
248		156
249		148
250		59
251		157
252		90
253		196
254		186
255		74
256		191
257		177
258		60
259		54
260		39
261		9
262		3
263		112
264		119
265		122
266		53
267		134
268		146
269		47
270		181
271		32
272		172
273		183
274		159
275		136
276		68
277		13
278		115
279		143
280		164
281		133
282		46
283		108
284		116
285		86
286		76
287		123
288		43
289		36
290		10
291		152
292		5
293		200
294		57
295		83
296		197
297		170
298		107
299		35
300		19
301		70
302		166
303		141
304		110
305		51
306		4
307		45
308		171
309		96
310		149
311		101
312		49
313		131
314		99
315		15
316		178
317		132
318		82
319		161
320		102
321		8
322		17
323		190
324		114
325		189
326		1
327		154
328		163
329		72
330		195
331		175
332		79
333		142
334		125
335		81
336		11
337		184
338		75
339		41
340		71
341		67
342		80
343		37
344		87
345		38
346		2
347		174
348		33
349		151
350		188
351		193
352		52
353		25
354		128
355		109
356		147
357		180
358		139
359		98
360		31
361		198
362		169
363		150
364		173
365		194
366		145
367		69
368		144
369		155
370		50
371		64
372		40
373		48
374		140
375		56
376		91
377		162
378		158
379		61
380		100
381		104
382		63
383		160
384		111
385		6
386		103
387		58
388		23
389		18
390		185
391		89
392		22
393		16
394		129
395		120
396		126
397		187
398		176
399		27
400		179
401		157
402		168
403		77
404		119
405		200
406		32
407		4
408		49
409		97
410		194
411		41
412		26
413		60
414		13
415		89
416		17
417		158
418		66
419		115
420		193
421		58
422		22
423		189
424		76
425		103
426		94
427		127
428		171
429		191
430		46
431		80
432		45
433		56
434		92
435		190
436		96
437		43
438		100
439		78
440		137
441		52
442		198
443		182
444		156
445		18
446		98
447		181
448		25
449		21
450		27
451		111
452		106
453		23
454		155
455		16
456		120
457		130
458		101
459		118
460		44
461		160
462		11
463		105
464		51
465		64
466		141
467		197
468		159
469		167
470		124
471		142
472		175
473		93
474		134
475		88
476		145
477		187
478		8
479		164
480		136
481		15
482		173
483		152
484		67
485		34
486		104
487		55
488		125
489		146
490		40
491		188
492		109
493		9
494		79
495		50
496		63
497		110
498		61
499		117
500		99
501		153
502		28
503		186
504		31
505		199
506		68
507		166
508		143
509		69
510		140
511		74
512		86
513		112
514		62
515		108
516		38
517		184
518		53
519		131
520		180
521		12
522		133
523		71
524		19
525		132
526		37
527		147
528		87
529		82
530		24
531		123
532		73
533		144
534		6
535		185
536		135
537		42
538		151
539		121
540		138
541		154
542		195
543		128
544		85
545		36
546		48
547		129
548		122
549		14
550		162
551		33
552		114
553		59
554		113
555		149
556		72
557		47
558		161
559		192
560		148
561		5
562		150
563		84
564		116
565		174
566		179
567		83
568		95
569		81
570		169
571		75
572		57
573		1
574		3
575		10
576		65
577		196
578		91
579		126
580		20
581		170
582		54
583		177
584		90
585		2
586		35
587		165
588		172
589		30
590		70
591		107
592		139
593		163
594		29
595		183
596		39
597		102
598		176
599		7
600		178
601		47
602		170
603		82
604		33
605		109
606		146
607		123
608		98
609		143
610		128
611		57
612		90
613		196
614		80
615		87
616		60
617		200
618		172
619		106
620		180
621		59
622		190
623		154
624		26
625		78
626		58
627		161
628		156
629		117
630		97
631		10
632		44
633		118
634		3
635		69
636		19
637		63
638		126
639		85
640		129
641		100
642		115
643		110
644		134
645		131
646		159
647		192
648		25
649		66
650		12
651		45
652		181
653		162
654		55
655		107
656		182
657		188
658		79
659		96
660		153
661		191
662		28
663		101
664		31
665		145
666		136
667		130
668		193
669		71
670		40
671		22
672		75
673		5
674		2
675		198
676		111
677		64
678		186
679		119
680		104
681		183
682		160
683		11
684		39
685		150
686		179
687		139
688		185
689		37
690		16
691		124
692		42
693		189
694		148
695		138
696		164
697		35
698		194
699		77
700		8
